epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,26874.6,0.88002,0.3863,0.80807,0.82107,0.81747,0.83221,0.58543,0.80205,0.33832,0.7734,0.000300572,0.000300572,0.000300572
70,27316.4,0.88275,0.38526,0.80681,0.82027,0.8151,0.83285,0.58598,0.80146,0.3378,0.77408,0.000287426,0.000287426,0.000287426
71,27760.1,0.88535,0.38689,0.80583,0.82063,0.81377,0.83355,0.58588,0.80068,0.33809,0.77406,0.000274467,0.000274467,0.000274467
72,28199.1,0.87127,0.38394,0.80839,0.82407,0.81253,0.83406,0.5864,0.79803,0.33702,0.77373,0.000253277,0.000253277,0.000253277
73,28627.2,0.87441,0.38319,0.8069,0.82578,0.81048,0.83334,0.58705,0.79683,0.33537,0.77364,0.000240757,0.000240757,0.000240757
74,29041,0.86751,0.38037,0.80733,0.82424,0.81304,0.83384,0.58881,0.79656,0.33521,0.77372,0.00022847,0.00022847,0.00022847
75,29446.5,0.87332,0.38234,0.80667,0.82052,0.81651,0.83415,0.58896,0.79532,0.33411,0.77335,0.000216425,0.000216425,0.000216425
76,29839.9,0.86706,0.37897,0.80554,0.82026,0.81772,0.8347,0.5889,0.79425,0.33449,0.77293,0.000204634,0.000204634,0.000204634
77,30237.7,0.86695,0.37602,0.8056,0.82344,0.8136,0.83526,0.58936,0.79473,0.33379,0.77306,0.000193107,0.000193107,0.000193107
78,30642.9,0.86341,0.37679,0.80458,0.82549,0.81081,0.83425,0.58885,0.79482,0.33331,0.77287,0.000181853,0.000181853,0.000181853
79,31055.6,0.85956,0.37275,0.80419,0.82823,0.81088,0.83468,0.58893,0.79554,0.33345,0.77294,0.000170883,0.000170883,0.000170883
80,31460.5,0.87076,0.3795,0.8062,0.82798,0.81164,0.83542,0.58919,0.7954,0.33277,0.77306,0.000160207,0.000160207,0.000160207
81,31860.7,0.8561,0.37201,0.80468,0.82378,0.81311,0.83548,0.58942,0.79494,0.33318,0.77291,0.000149834,0.000149834,0.000149834
82,32249.1,0.85426,0.37033,0.80502,0.82546,0.81599,0.83549,0.5899,0.79442,0.33344,0.77271,0.000139773,0.000139773,0.000139773
83,32635.9,0.86114,0.37201,0.80343,0.83098,0.81151,0.83607,0.59032,0.79387,0.33327,0.77252,0.000130032,0.000130032,0.000130032
